,Link,Title,Ingredients
0,https://www.allrecipes.com/recipe/257938/spicy-thai-basil-chicken-pad-krapow-gai/,Spicy Thai Basil Chicken (Pad Krapow Gai),chicken broth oyster sauce soy sauce or as fish sauce sugar sugar oil skinless boneless chicken thighs shallots garlic Thai chilies Serrano or hot pepper very thinly fresh basil leaves s hot cooked rice
1,https://www.allrecipes.com/recipe/238840/quick-crispy-parmesan-chicken-breasts/,Quick Crispy Parmesan Chicken Breasts,cooking spray ko bread Parmesan cheese paprika salt ground black pepper melted butter wine () Dijon mustard clove garlic skinless boneless chicken breast halves ed to an even thickness
2,https://www.allrecipes.com/recipe/23847/pasta-pomodoro/,Pasta Pomodoro,( ) angel hair pasta olive oil onion garlic s roma (plum) tomatoes diced balsamic vinegar (0. ) can low-sodium chicken broth red pepper to taste freshly ground black pepper to taste fresh basil grated Parmesan cheese
3,https://www.allrecipes.com/recipe/50435/fry-bread-tacos-ii/,Fry Bread Tacos II,Toppings: (. ) can pinto beans with liquid picante sauce ground beef (. ) taco seasoning Fry Bread: s all- flour or more as powder salt milk oil for frying s shredded iceberg lettuce shredded Cheddar cheese
4,https://www.allrecipes.com/recipe/142488/amazing-spicy-grilled-shrimp/,Amazing Spicy Grilled Shrimp,olive oil sesame oil fresh parsley hot sauce garlic ketchup Asian chile paste salt black pepper lemon juice s shrimp and deveined wooden skewers soaked in water
5,https://www.allrecipes.com/recipe/246029/pan-roasted-5-spice-pork-loin/,Pan-Roasted 5-Spice Pork Loin,( ) boneless pork loin roast trimmed of fat Marinade: rice vinegar garlic Asian fish sauce soy sauce sriracha hot sauce or to taste fine sea salt freshly ground black pepper Chinese five-spice powder oil for roasting
6,https://www.allrecipes.com/recipe/246172/easy-bulgogi-korean-bbq-beef,Easy Bulgogi (Korean BBQ Beef),yellow onion thinly green onions green separated from and light green soy sauce sugar toasted sesame seeds garlic sesame oil Korean red pepper flakes fresh ginger ground black pepper s beef sirloin steak very thin using kitchen honey or to taste
7,https://www.allrecipes.com/recipe/247066/parmesan-crusted-pork-chops/,Parmesan-Crusted Pork Chops,cooking spray egg grated Parmesan cheese Cajun seasoning boneless pork chops trimmed
8,https://www.allrecipes.com/recipe/245764/buffalo-chicken-mac-and-cheese/,Buffalo Chicken Mac and Cheese,( ) elbow macaroni rotisserie-roasted chicken butter all- flour s milk ground black pepper s shredded Cheddar cheese s shredded Monterey Jack cheese hot sauce (such as Franks® Redhot®) or more to taste gorgonzola cheese
9,https://www.allrecipes.com/recipe/246350/easy-cloud-bread/,Easy Cloud Bread,eggs separated cream of tartar cream cheese very soft sugar
10,https://www.allrecipes.com/recipe/246305/chicken-cacciatore-in-a-slow-cooker/,Chicken Cacciatore in a Slow Cooker ,skinless boneless chicken breast halves ( ) jar spaghetti sauce (such as Classico® Cabernet Marinara with Herbs) ( ) can tomato paste fresh mushrooms yellow onion green bell pepper seeded and diced garlic dried oregano dried basil ground black pepper red pepper flakes ()
11,https://www.allrecipes.com/recipe/254417/spaghetti-squash-casserole-in-the-shell/,Spaghetti Squash Casserole in the Shell,spaghetti squash halved and seeded lean ground beef onion bell pepper clove garlic dried basil dried oregano salt ground black pepper (. ) can diced tomatoes drained shredded Cheddar cheese
12,https://www.allrecipes.com/recipe/246198/easy-french-toast-waffles/,Easy French Toast Waffles,cooking spray whole milk eggs maple syrup vanilla extract salt pieces -inch thick pieces brioche
13,https://www.allrecipes.com/recipe/254811/loaded-crack-potatoes/,Loaded Crack Potatoes,cooking spray ( ) frozen hash potatoes thawed ( ) container sour cream cooked bacon ( ) ranch dressing s shredded Cheddar cheese or more to taste
14,https://www.allrecipes.com/recipe/247363/chef-johns-grilled-lamb-with-mint-orange-sauce/,Chef John's Grilled Lamb with Mint Orange Sauce,s lamb loin chops olive oil garlic cumin ed herbs - Italian Greek or French blend black pepper ground coriander cinnamon cayenne pepper salt as Sauce: orange marmalade hot chili flakes rice vinegar fresh mint
15,https://www.allrecipes.com/recipe/246032/creamsicle-pancakes/,Creamsicle® Pancakes,milk orange juice grated orange zest all- flour sugar powder soda salt egg butter melted vanilla extract
16,https://www.allrecipes.com/recipe/246762/mushroom-shrimp-alfredo-pasta/,Mushroom Shrimp Alfredo Pasta,( ) box dry fettuccine pasta pint heavy whipping cream s butter grated Romano cheese grated Parmesan cheese garlic salt and ground black pepper to taste olive oil onion diced mushrooms ( ) frozen shrimp deveined and tails removed thawed
17,https://www.allrecipes.com/recipe/245990/easy-bacon-fried-rice/,Easy Bacon Fried Rice,bacon into -inch pieces frozen French- green beans thawed onion roughly garlic sesame oil egg beaten s cold cooked rice soy sauce or more to taste
18,https://www.allrecipes.com/recipe/246384/the-best-kale-salad/,The Best Kale Salad,bunch lacinato kale ribs and leaves into thin strips olive oil salt Lemon Vinaigrette: olive oil lemon juiced Dijon mustard maple syrup or more to taste ground cumin garlic powder or to taste cayenne pepper or to taste salt and ground black pepper to taste Salad: carrots grated frozen roasted corn (such as Trader Joes®) thawed tortilla chips dry-roasted almonds grated smoked cheese (such as Beechers® Smoked Flagship) hard-boiled eggs
19,https://www.allrecipes.com/recipe/246291/garlic-loves-roasted-cabbage/,Garlic Loves Roasted Cabbage,head cabbage or more to taste quartered and cored salt and ground black pepper to taste garlic or to taste olive oil or to taste water ()
20,https://www.allrecipes.com/recipe/246158/healthy-cauliflower-and-edamame-salad/,Healthy Cauliflower and Edamame Salad,head cauliflower into bite-size pieces ( ) frozen shelled edamame (green soybeans) hard-cooked eggs ribs celery or to taste bell pepper or to taste (. ) container plain Greek yogurt bunch radishes or to taste green onions or to taste mayonnaise Dijon mustard (such as Grey Poupon®) kosher dill pickles olive oil clove garlic sprig fresh dill salt and ground black pepper to taste
21,https://www.allrecipes.com/recipe/246504/creamy-blueberry-coconut-ricotta-bowl/,Creamy Blueberry Coconut Ricotta Bowl,whole milk ricotta cheese coconut milk honey or to taste almonds sweetened flaked coconut blueberries or to taste
22,https://www.allrecipes.com/recipe/241066/one-skillet-mexican-quinoa/,One Skillet Mexican Quinoa,olive oil jalapeno pepper garlic ( ) can black beans rinsed and drained (. ) can fire-roasted diced tomatoes yellow corn quinoa chicken broth red pepper flakes chili powder cumin kosher salt and ground black pepper to taste avocado - pitted and diced lime juiced fresh cilantro
23,https://www.allrecipes.com/recipe/240784/easy-coleslaw-dressing/,Easy Coleslaw Dressing,mayonnaise sugar lemon juice vinegar ground black pepper salt
24,https://www.allrecipes.com/recipe/241707/joys-easy-banana-bread/,Joy's Easy Banana Bread,ripe bananas mashed sugar egg melted butter s all- flour soda salt
25,https://www.allrecipes.com/recipe/241038/microwave-chocolate-mug-cake/,Microwave Chocolate Mug Cake,all- flour sugar unsweetened cocoa powder soda salt milk canola oil water vanilla extract
26,https://www.allrecipes.com/recipe/244346/canadian-pork-loin-chops/,Canadian Pork Loin Chops,Spice Rub: sugar sea salt garlic powder onion powder paprika freshly ground black pepper dry mustard fennel seeds boneless pork loin chops inch thick Glaze: pure maple syrup preferably amber (Grade B) spicy mustard garlic powder paprika freshly ground black pepper cayenne pepper () seasoned bread olive oil canola oil clove clove garlic
27,https://www.allrecipes.com/recipe/241001/crispy-honey-sriracha-chicken-wings/,Crispy Honey Sriracha Chicken Wings,powder kosher salt freshly ground black pepper smoked paprika s chicken wing sections Honey Sriracha Glaze: honey sriracha sauce seasoned rice vinegar sesame oil sesame seeds or as desired
28,https://www.allrecipes.com/recipe/244614/3-ingredient-peanut-butter-cookies/,3-Ingredient Peanut Butter Cookies,peanut butter sugar egg
29,https://www.allrecipes.com/recipe/244458/buttered-noodles/,Buttered Noodles,( ) fettuccine noodles butter grated Parmesan cheese salt and ground black pepper to taste
30,https://www.allrecipes.com/recipe/241941/apple-sage-pork-chops/,Apple-Sage Pork Chops,flour dried sage garlic ground thyme salt ground allspice paprika boneless pork chops olive oil onion thinly red apples thinly apple juice sugar
31,https://www.allrecipes.com/recipe/241834/oven-roasted-sweet-potatoes/,Oven Roasted Sweet Potatoes,s sweet potato sweet onions (such as Vidalia®) into wedges garlic olive oil balsamic vinegar or more to taste salt and ground black pepper to taste
32,https://www.allrecipes.com/recipe/244251/no-cook-overnight-oatmeal/,No-Cook Overnight Oatmeal,milk rolled oats Greek yogurt chia seeds honey ground cinnamon fresh blueberries
33,https://www.allrecipes.com/recipe/241059/heavenly-lemon-cake/,Heavenly Lemon Cake,Cake: s sugar butter softened eggs s all- flour lemons lemon zested powder Syrup: sugar lemons juiced
34,https://www.allrecipes.com/recipe/244389/avocado-breakfast-bowl/,Avocado Breakfast Bowl,water red quinoa olive oil eggs salt and ground black pepper to taste seasoned salt ground black pepper avocado diced feta cheese
35,https://www.allrecipes.com/recipe/241760/easy-energy-balls/,Easy Energy Balls,instant oats flaked coconut peanut butter flax seeds chocolate chips honey
36,https://www.allrecipes.com/recipe/241019/spinach-and-banana-power-smoothie/,Spinach and Banana Power Smoothie,plain soy milk packed fresh spinach leaves banana
37,https://www.allrecipes.com/recipe/241266/pho-ga-soup/,Pho Ga Soup,oil small yellow onion ( ) baby bella mushrooms garlic s water (. ) rice stick noodles (such as Maifun®) chicken bouillon cooked chicken breasts shredded green onions fresh cilantro s bean sprouts lime into wedges dash Sriracha hot sauce or more to taste
38,https://www.allrecipes.com/recipe/245752/buffalo-cauliflower-florets/,Buffalo Cauliflower Florets,cooking spray Buffalo wing sauce (such as Franks®) mayonnaise egg s cauliflower florets s garlic croutons grated Parmesan cheese Blue Cheese Dip: blue cheese salad dressing sour cream ground black pepper
39,https://www.allrecipes.com/recipe/242331/nutella-coffee-shake/,Nutella® Coffee Shake,s ice cubes s milk sugar chocolate-hazelnut spread (such as Nutella®) instant coffee granules vanilla extract
40,https://www.allrecipes.com/recipe/241872/sriracha-aioli/,Sriracha Aioli,mayonnaise sriracha hot sauce lime juiced
41,https://www.allrecipes.com/recipe/244830/toasted-breakfast-burritos/,Toasted Breakfast Burritos,I Cant Believe Its Not Butter!® Spread assorted fresh s (peppers tomatoes andor green onions) turkey bacon () eggs water shredded low-fat Cheddar cheese ( inch) fajita size whole wheat tortillas
42,https://www.allrecipes.com/recipe/240060/loaded-cauliflower/,Loaded Cauliflower,head cauliflower sour cream shredded Cheddar cheese dry ranch salad dressing (such as Hidden Valley Ranch®) onion powder garlic powder butter into small pieces or more to taste
43,https://www.allrecipes.com/recipe/238987/paleo-cauliflower-rice/,Paleo Cauliflower Rice,head cauliflower into chunks extra-virgin olive oil salt and ground black pepper to taste
44,https://www.allrecipes.com/recipe/235997/unstuffed-cabbage-roll/,Unstuffed Cabbage Roll,s ground beef onion small head cabbage (. ) diced tomatoes ( ) can tomato sauce water garlic salt ground black pepper
45,https://www.allrecipes.com/recipe/239047/one-pan-orecchiette-pasta/,One Pan Orecchiette Pasta,olive oil onion diced salt to taste spicy Italian sausages casings removed s low-sodium chicken broth or as s orecchiette pasta or more to taste roughly arugula or to taste grated Parmigiano-Reggiano cheese or to taste
46,https://www.allrecipes.com/recipe/239993/chef-johns-dutch-babies/,Chef John's Dutch Babies,milk room temperature packed all- flour eggs room temperature vanilla extract salt clarified butter butter Meyer lemon juiced confectioners sugar or to taste
47,https://www.allrecipes.com/recipe/240502/easy-french-toast-casserole/,Easy French Toast Casserole,sugar butter ( ) loaf crusty French bread into bite-size pieces or as s milk eggs vanilla extract ground cinnamon or to taste sugar or as
48,https://www.allrecipes.com/recipe/239969/no-bake-energy-bites/,No-Bake Energy Bites,rolled oats mini semi-sweet chocolate chips ground flax seed crunchy peanut butter honey vanilla extract
49,https://www.allrecipes.com/recipe/236165/fluffy-and-delicious-pancakes/,Fluffy and Delicious Pancakes,milk vinegar all- flour sugar powder soda salt egg butter melted ground cinnamon or as desired () vanilla extract () cooking spray
50,https://www.allrecipes.com/recipe/240331/sandys-homemade-broccoli-and-cheddar-soup/,Sandy's Homemade Broccoli and Cheddar Soup,butter small onion all- flour half-and-half s chicken broth salt and ground black pepper to taste s broccoli carrot celery stalk s shredded mild Cheddar cheese
51,https://www.allrecipes.com/recipe/240130/scrumptious-salmon-cakes/,Scrumptious Salmon Cakes,(. ) salmon drained and flaked Italian-seasoned ko (Jaese bread ) fresh parsley eggs beaten green onions seafood seasoning (such as Old Bay®) ground black pepper garlic powder Worcestershire sauce grated Parmesan cheese Dijon mustard creamy salad dressing (such as Miracle Whip®) olive oil or as
52,https://www.allrecipes.com/recipe/237320/sherry-braised-beef-short-ribs/,Sherry Braised Beef Short Ribs ,bacon into -inch pieces s beef short ribs salt and ground black pepper to taste sprigs fresh thyme leaves stripped bay leaf onion diced garlic all- flour dry sherry quart beef broth
53,https://www.allrecipes.com/recipe/239534/midwest-salisbury-steak/,Midwest Salisbury Steak,Patties: ground sirloin ko bread egg beaten milk ( ) dry onion soup Worcestershire sauce ground black pepper Gravy: butter s fresh mushrooms sweet onion all- flour ( ) dry onion soup s beef stock water salt and ground black pepper to taste
54,https://www.allrecipes.com/recipe/239869/butter-roasted-cauliflower/,Butter-Roasted Cauliflower ,head cauliflower into florets butter melted or more to taste salt and ground black pepper to taste
55,https://www.allrecipes.com/recipe/236212/homemade-melt-in-your-mouth-dark-chocolate-paleo/,Homemade Melt-In-Your-Mouth Dark Chocolate (Paleo),coconut oil cocoa powder honey vanilla extract
56,https://www.allrecipes.com/recipe/234033/sadies-buttermilk-biscuits/,Sadie's Buttermilk Biscuits,s all- flour salt soda cream of tartar powder lard s buttermilk
57,https://www.allrecipes.com/recipe/237474/chef-johns-roasted-leg-of-lamb/,Chef John's Roasted Leg of Lamb,pomegranate molasses garlic fresh rosemary kosher salt freshly ground black pepper Aleppo pepper dried mint ground cumin ( ) boneless leg of lamb butterflied kitchen twine salt to taste water as pomegranate molasses or as
58,https://www.allrecipes.com/recipe/239576/lick-the-spoon-cilantro-jalapeno-aioli/,Lick-the-Spoon Cilantro Jalapeno Aioli,olive oil mayonnaise firmly packed fresh cilantro leaves jalapeno seeds and membrane removed diced garlic halved lime juiced ground cumin salt or to taste
59,https://www.allrecipes.com/recipe/236459/cheesecake-stuffed-strawberries/,Cheesecake-Stuffed Strawberries,( ) cream cheese softened confectioners sugar vanilla extract pint fresh strawberries hulled and cored graham crackers or as
60,https://www.allrecipes.com/recipe/240752/chef-johns-honey-glazed-ham/,Chef John's Honey-Glazed Ham,water or as whole star anise whole or more to taste ( ) country-style ham firmly packed light sugar honey Dijon mustard rice vinegar freshly ground black pepper Worcestershire sauce cayenne pepper
61,https://www.allrecipes.com/recipe/237000/green-power-mojito-smoothie/,Green Power Mojito Smoothie,s ice cubes or as desired s baby spinach leaves or to taste ( ) can pineapple water or to taste banana broken into chunks orange and segmented 0 fresh mint leaves or more to taste lemon juiced lime juiced
62,https://www.allrecipes.com/recipe/233074/grandads-pancakes/,Grandad's Pancakes,all- flour sugar powder salt milk at room temperature egg at room temperature oil oil or as
63,https://www.allrecipes.com/recipe/232326/healthy-mexican-chicken-bake/,Healthy Mexican Chicken Bake,oil boneless skinless chicken breasts ground cumin garlic powder salt and ground black pepper to taste shredded Mexican cheese blend salsa
64,https://www.allrecipes.com/recipe/232799/chef-johns-lemon-bars/,Chef John's Lemon Bars,For the shortbread crust: all- flour unsalted butter at room temperature confectioners sugar vanilla extract salt For the lemon layer: eggs egg yolk sugar all- flour freshly squeezed lemon juice freshly grated lemon zest confectioners sugar or to taste
65,https://www.allrecipes.com/recipe/232967/fajita-seasoning/,Fajita Seasoning,cornstarch chili powder salt paprika sugar onion powder garlic powder cayenne pepper ground cumin
66,https://www.allrecipes.com/recipe/231082/just-like-wendys-chili/,Just Like Wendy's® Chili,olive oil s ground beef stalks celery onion green bell pepper ( ) stewed tomatoes (0 ) can diced tomatoes with green chiles (such as RO*TEL) ( ) can tomato sauce water (. ) s chili seasoning (such as McCormick® Mild Chili Seasoning Mix) ( ) can kidney beans undrained ( ) can pinto beans undrained salt and ground black pepper to taste vinegar or more to taste
67,https://www.allrecipes.com/recipe/232922/apple-cinnamon-white-cake/,Apple Cinnamon White Cake,sugar ground cinnamon sugar butter softened eggs vanilla extract s all- flour powder milk apple and
68,https://www.allrecipes.com/recipe/233393/oven-roasted-parmesan-potatoes/,Oven Roasted Parmesan Potatoes,cooking spray oil or as freshly grated Parmesan cheese salt garlic powder paprika ground black pepper s red potatoes halved oil or as sour cream ()
69,https://www.allrecipes.com/recipe/231510/amazing-muffin-cups/,Amazing Muffin Cups,links Johnsonville® Original breakfast sausage s frozen country style shredded hash potatoes thawed butter melted salt pepper eggs lightly beaten s shredded -cheese Mexican blend cheese red bell pepper fresh chives or green onion
70,https://www.allrecipes.com/recipe/231644/chicken-souvlaki-with-tzatziki-sauce/,Chicken Souvlaki with Tzatziki Sauce,olive oil lemon juice garlic dried oregano salt s skinless boneless chicken breast halves - into bite-sized pieces Sauce: ( ) container plain Greek-style yogurt cucumber - seeded and grated olive oil vinegar clove garlic salt wooden skewers or as
71,https://www.allrecipes.com/recipe/231449/baked-split-chicken-breast/,Baked Split Chicken Breast,bone-in chicken breast halves with skin extra-virgin olive oil garlic coarse sea salt cracked black pepper dried rosemary dried basil
72,https://www.allrecipes.com/recipe/231514/vegetarian-mexican-inspired-stuffed-peppers/,Vegetarian Mexican Inspired Stuffed Peppers,salt green bell peppers - tops seeds and membranes removed olive oil onion s cooked rice ( ) can black beans drained and rinsed (. ) can chili-style diced tomatoes chili powder garlic salt ground cumin salt ( ) shredded Mexican cheese blend (such as Sargento® Authentic Mexican)
73,https://www.allrecipes.com/recipe/231008/garlic-and-parmesan-chicken-wings/,Garlic and Parmesan Chicken Wings,cooking spray quarts cold water balsamic vinegar salt bay leaf dried thyme dried oregano dried rosemary garlic salt olive oil or as freshly ground black pepper red pepper flakes or to taste s chicken wings separated at joints tips fine bread grated Parmigiano-Reggiano cheese
74,https://www.allrecipes.com/recipe/231643/hearty-breakfast-muffins/,Hearty Breakfast Muffins,carrots shredded bananas mashed zucchini shredded oil yogurt eggs whole wheat flour soda packed sugar rolled oats shredded coconut pe dried cherries ground cinnamon salt ground ginger
75,https://www.allrecipes.com/recipe/230665/barbeque-bacon-chicken-bake/,Barbeque Bacon Chicken Bake,cooking spray bacon skinless boneless chicken breast halves barbeque sauce (such as Cattlemens® or Jack Daniels®)
76,https://www.allrecipes.com/recipe/231457/pesto-spaghetti-squash/,Pesto Spaghetti Squash,spaghetti squash halved lengthwise and seeded butter onion kale stems removed and leaves mushrooms garlic salt Italian seasoning red pepper flakes olive oil prepared pesto grated Parmesan cheese
77,https://www.allrecipes.com/recipe/230874/easy-peanut-butter-bars/,Easy Peanut Butter Bars,cooking spray s all- flour s packed light sugar peanut butter butter softened milk egg vanilla extract salt soda ( ) chocolate chips ()
78,https://www.allrecipes.com/recipe/230683/sour-cream-cornbread/,Sour Cream Cornbread,s cornmeal s all- flour s sugar salt soda s sour cream butter melted eggs
79,https://www.allrecipes.com/recipe/230966/country-sunday-breakfast-casserole/,Country Sunday Breakfast Casserole,( ) bulk breakfast sausage green onion ( ) hash potatoes s shredded Cheddar cheese eggs lightly beaten milk (. ) country gravy paprika or to taste ()
80,https://www.allrecipes.com/recipe/232546/easy-chicken-and-corn-chowder/,Easy Chicken and Corn Chowder,butter small carrot diced stalk celery diced small onion diced clove garlic all- flour s corn kernels s yellow corn kernels russet potatoes diced cooked rotisserie chicken breast halves shredded s chicken stock s half-and-half nutmeg salt and ground black pepper to taste
81,https://www.allrecipes.com/recipe/232429/ryans-reverse-popper-dip/,Ryan's Reverse Popper Dip,bacon canola oil sweet onion garlic dry bread ( ) s Neufchatel cheese at room temperature s shredded reduced-fat sharp Cheddar cheese 0 jalapeno peppers seeded and ground cumin dried oregano
82,https://www.allrecipes.com/recipe/228293/curry-stand-chicken-tikka-masala-sauce/,Curry Stand Chicken Tikka Masala Sauce,ghee (clarified butter) onion garlic ground cumin salt ground ginger cayenne pepper ground cinnamon ground turmeric ( ) can tomato sauce heavy whipping cream paprika sugar oil skinless boneless chicken breast halves into bite-size pieces curry powder salt or to taste () sugar or to taste ()
83,https://www.allrecipes.com/recipe/220125/slow-cooker-beef-pot-roast/,Slow Cooker Beef Pot Roast,( ) bone-in beef pot roast salt and pepper to taste all- flour or as oil mushrooms medium onion garlic butter all- flour tomato paste s chicken broth medium carrots into chunks stalks celery into chunks sprig fresh rosemary sprigs fresh thyme
84,https://www.allrecipes.com/recipe/220854/chef-johns-italian-meatballs/,Chef John's Italian Meatballs,plain bread milk olive oil onion diced ground beef ground pork eggs bunch fresh parsley garlic salt ground black pepper red pepper flakes dried Italian herb seasoning grated Parmesan cheese
85,https://www.allrecipes.com/recipe/221958/chef-johns-perfect-prime-rib/,Chef John's Perfect Prime Rib,s prime rib roast unsalted butter softened freshly ground black pepper herbes de Provence kosher salt
86,https://www.allrecipes.com/recipe/229733/simple-roasted-butternut-squash/,Simple Roasted Butternut Squash,butternut squash - seeded and into -inch cubes olive oil garlic salt and ground black pepper to taste
87,https://www.allrecipes.com/recipe/220661/quinoa-black-bean-burgers/,Quinoa Black Bean Burgers,( ) can black beans rinsed and drained quinoa water bread yellow bell pepper onion clove garlic ground cumin salt hot pepper sauce (such as Franks RedHot®) egg olive oil
88,https://www.allrecipes.com/recipe/220597/simple-garlic-shrimp/,Simple Garlic Shrimp,olive oil shrimp and deveined salt to taste garlic red pepper flakes lemon juice caper brine cold butter Italian flat leaf parsley cold butter water as
89,https://www.allrecipes.com/recipe/229156/zesty-quinoa-salad/,Zesty Quinoa Salad,quinoa s water extra-virgin olive oil limes juiced ground cumin salt red pepper flakes or more to taste s halved cherry tomatoes ( ) can black beans drained and rinsed green onions fresh cilantro salt and ground black pepper to taste
90,https://www.allrecipes.com/recipe/220943/chef-johns-buttermilk-biscuits/,Chef John's Buttermilk Biscuits,s all- flour powder salt soda unsalted butter chilled in freezer and into thin cold buttermilk buttermilk for brushing
91,https://www.allrecipes.com/recipe/220127/chef-johns-ham-and-potato-soup/,Chef John's Ham and Potato Soup,s Yukon Gold potatoes and diced medium onion diced medium carrot diced rib celery diced smoked ham diced garlic butter flour s chicken broth s water heavy cream salt and pepper to taste cayenne pepper () fresh chives for garnish ()
92,https://www.allrecipes.com/recipe/222619/sweet-corn-bread/,Sweet Corn Bread,all- flour cornmeal sugar powder soda salt egg lightly beaten sour cream milk butter melted
93,https://www.allrecipes.com/recipe/219967/chef-johns-banana-bread/,Chef John's Banana Bread,cooking spray s all- flour salt powder soda butter softened ripe bananas mashed sugar eggs vanilla extract milk walnuts semisweet chocolate chips
94,https://www.allrecipes.com/recipe/229730/sweet-potato-and-black-bean-chili/,Sweet Potato and Black Bean Chili,s orange-fleshed sweet potatoes and into cubes ground dried chipotle pepper salt olive oil onion diced garlic red bell pepper diced jalapeno pepper ancho chile powder or to taste ground cumin dried oregano ( ) can diced tomatoes water or more as cornmeal salt or to taste sugar unsweetened cocoa powder ( ) black beans rinsed and drained cayenne pepper or to taste sour cream for garnish () fresh cilantro for garnish ()
95,https://www.allrecipes.com/recipe/230050/kale-quinoa-and-avocado-salad-with-lemon-dijon-vinaigrette/,"Kale, Quinoa, and Avocado Salad with Lemon Dijon Vinaigrette",Salad quinoa s water bunch kale torn into bite-sized pieces avocado - pitted and diced cucumber red bell pepper red onion feta cheese Dressing olive oil lemon juice Dijon mustard sea salt ground black pepper
96,https://www.allrecipes.com/recipe/222134/healthier-broiled-tilapia-parmesan/,Healthier Broiled Tilapia Parmesan,Parmesan cheese butter softened light mayonnaise fresh lemon juice dried basil ground black pepper onion powder celery salt s tilapia fillets
97,https://www.allrecipes.com/recipe/229088/apple-crisp-with-oat-topping/,Apple Crisp with Oat Topping,apples - cored and sugar ground cinnamon sugar old-fashioned oats all- flour ground cinnamon cold butter
98,https://www.allrecipes.com/recipe/220195/roasted-asparagus-with-parmesan/,Roasted Asparagus with Parmesan,olive oil cooking spray fresh asparagus tough ends trimmed shredded Parmesan cheese sea salt garlic powder or to taste
99,https://www.allrecipes.com/recipe/222002/chef-johns-stuffed-peppers/,Chef John's Stuffed Peppers,uncooked long grain rice s water Sauce: onion diced olive oil s marinara sauce beef broth balsamic vinegar red pepper flakes Peppers: lean ground beef hot Italian pork sausage casing removed (0 ) can diced tomatoes fresh Italian parsley garlic salt freshly ground black pepper ground cayenne pepper green bell peppers halved lengthwise and seeded grated Parmigiano-Reggiano cheese plus more for topping
100,https://www.allrecipes.com/recipe/223042/chicken-parmesan/,Chicken Parmesan,skinless boneless chicken breast halves salt and freshly ground black pepper to taste eggs ko bread or more as grated Parmesan cheese all- flour or more if olive oil for frying prepared tomato sauce fresh mozzarella into small cubes fresh basil grated provolone cheese grated Parmesan cheese olive oil
101,https://www.allrecipes.com/recipe/221950/chef-johns-caramel-chicken/,Chef John's Caramel Chicken,sugar cold water fish sauce rice vinegar soy sauce garlic fresh grated ginger oil boneless skinless chicken thighs quartered roasted peanuts fresh jalapeno peppers seeded and bunch green onions fresh cilantro sprigs for garnish
